sample_name,sampleID,region,lat,long,r420,d13c,r_ra,r_ea_err,rc_ra,rc_ra_err,co3_he3,co2_he3_err,phase,origin,reference
Baños Los Humos,30c,SVZ,-34.8,-70.46,38,-8.7,3.58,NA,3.6,NA,108000000000,NA,G,published,2016Benavente
Baños Morales,24,SVZ,-33.82,-70.06,NA,-8.6,1.53,NA,1.81,NA,138000000000,NA,G,published,2016Benavente
Barro Colorado,39a,SVZ,-35.41,-70.48,56,-5.72,3.26,NA,3.27,NA,146000000000,NA,G,published,2016Benavente
Chancho Co,CC2,SVZ,-37.82,-71.16,914,NA,NA,NA,5.02,NA,7900000000,NA,G,published,2013Augusto
Chancho Co,CC3,SVZ,-37.83,-71.11,NA,-8.1,NA,NA,7.01,NA,8800000000,NA,G,published,2013Augusto
Chihuío,CHH,SVZ,-40.19,-71.93,103.6,-10.8,4.31,NA,4.41,0.12,930000000,30000000,W,published,2009Ray
Chillán,F,SVZ,-36.9,-71.41,4.5,-7.8,2.38,NA,2.49,0.09,34700000000,1300000000,G,published,2009Ray
Chillán,F2,SVZ,-36.9,-71.41,96.4,-6,2.55,NA,2.6,0.2,40200000000,3000000000,G,published,2009Ray
Coñaripe,CN,SVZ,-39.64,-71.92,210.6,-11.3,4.09,NA,4.13,0.09,3630000000,100000000,W,published,2009Ray
COP,COP2,SVZ,-37.83,-71.11,6.72,-7.5,NA,NA,7.37,NA,57000000000,NA,G,published,2013Augusto
Copahue,AF,SVZ,-37.84,-71.19,38.7,-7.39,4.61,0.1,4.64,0.14,NA,NA,G,published,2021Tardani
Copahue,CB,SVZ,-37.84,-71.19,7.1,-7.51,6.79,0.14,7.06,0.2,NA,NA,G,published,2021Tardani
Copahue,CLM,SVZ,-37.84,-71.19,471.46,-7.71,7.17,0.39,7.17,0.42,NA,NA,G,published,2021Tardani
Copahue,COP-2,SVZ,-37.84,-71.19,323.8,-7.81,6.43,0.14,6.44,0.19,NA,NA,G,published,2021Tardani
Copahue,COP-2-WG-15,SVZ,-37.84,-71.19,233.61,-6.96,7.5,0.06,7.51,0.06,4480000000,NA,G,published,2016Roulleau
Copahue,COP-AF-BG-15,SVZ,-37.84,-71.19,0.99,-6.18,3.76,0.08,4.66,0.08,NA,NA,G,published,2016Roulleau
Copahue,COP-AF-Fl-14,SVZ,-37.84,-71.19,55.23,-7.9,5.27,0.11,5.29,0.01,17100000000,NA,G,published,2016Roulleau
Copahue,COP-AF-Fl-15,SVZ,-37.84,-71.19,70.94,-6.52,5.37,0.03,5.39,0.03,2520000000,NA,G,published,2016Roulleau
Copahue,COP-CB-Fl-14,SVZ,-37.84,-71.19,8.51,-8.1,7.27,0.15,7.51,0.3,10800000000,NA,G,published,2016Roulleau
Copahue,COP-CB-Fl-15,SVZ,-37.84,-71.19,652.17,NA,7.86,0.07,7.86,0.07,6900000000,NA,G,published,2016Roulleau
Copahue,COP-CC-Fl-14,SVZ,-37.84,-71.19,3.21,-9.82,4.78,0.1,5.19,0.45,97000000000,NA,G,published,2016Roulleau
Copahue,COP-CC2-Fl-15,SVZ,-37.84,-71.19,0.95,-6.92,3.65,0.02,4.57,0.03,7660000000,NA,G,published,2016Roulleau
Copahue,COP-CC3-W-15,SVZ,-37.84,-71.19,1.64,-8.24,3.7,0.08,4.18,0.08,NA,NA,W,published,2016Roulleau
Copahue,COP-LM-BG-15,SVZ,-37.84,-71.19,82.12,-6.52,7.47,0.15,7.49,0.15,10800000000,NA,G,published,2016Roulleau
Copahue,COP-LM-FL-15,SVZ,-37.84,-71.19,562.38,-6.95,7.09,0.04,7.1,0.04,6500000000,NA,G,published,2016Roulleau
Copahue,COP-LM2-BG-15,SVZ,-37.84,-71.19,NA,-6.27,NA,NA,NA,NA,NA,NA,G,published,2016Roulleau
Copahue,COP-LMM-BG-14,SVZ,-37.84,-71.19,81.59,-7.38,7.57,0.15,7.59,0.01,5500000000,NA,G,published,2016Roulleau
Copahue,COP-LMM-BG-15,SVZ,-37.84,-71.19,12.32,-6.02,7.32,0.06,7.45,0.06,4670000000,NA,G,published,2016Roulleau
Copahue,COP-LV-BG-15,SVZ,-37.84,-71.19,32.43,-6.11,7.49,0.03,7.55,0.03,6730000000,NA,G,published,2016Roulleau
Copahue,COP-PM-BG-15,SVZ,-37.84,-71.19,14.59,-10.45,6.49,0.04,6.59,0.04,27900000000,NA,G,published,2016Roulleau
Copahue,COP-TC-BG-15,SVZ,-37.84,-71.19,16.92,-6.45,7.49,0.09,7.59,0.09,6200000000,NA,G,published,2016Roulleau
Copahue,CPH,SVZ,-37.84,-71.19,173.83,-7.56,7.35,0.21,7.36,0.26,NA,NA,G,published,2021Tardani
Copahue,LMM,SVZ,-37.84,-71.19,27.17,-7.23,8.28,0.18,8.37,0.25,NA,NA,G,published,2021Tardani
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,23,-7.6,NA,NA,4.63,NA,7700000000,NA,G,published,2017Tassi
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,1996,-7,NA,NA,4.93,NA,4300000000,NA,G,published,2017Tassi
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,2445,-6.8,NA,NA,5.01,NA,1400000000,NA,G,published,2017Tassi
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,254,-8.5,NA,NA,5.09,NA,6800000000,NA,G,published,2017Tassi
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,216,-8.5,NA,NA,5.12,NA,8400000000,NA,G,published,2017Tassi
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,217,-8.8,NA,NA,5.16,NA,7500000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,1058,-8.1,NA,NA,4.04,NA,8500000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,84,-8.3,NA,NA,4.07,NA,9000000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,144,-7.8,NA,NA,4.21,NA,12000000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,914,-8.3,NA,NA,5.02,NA,3800000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,217,-9.3,NA,NA,5.12,NA,7500000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,186,-9.2,NA,NA,5.22,NA,6800000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,75,-8.8,NA,NA,5.35,NA,9100000000,NA,G,published,2017Tassi
Copahue Volcano,cristina 1,SVZ,-37.84,-71.19,458,-9.6,NA,NA,7.75,NA,3000000000,NA,G,published,2017Tassi
Copahue Volcano,cristina 2,SVZ,-37.84,-71.19,NA,-9.5,NA,NA,NA,NA,NA,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,485,-7.9,NA,NA,6.43,NA,8900000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,333,-7.1,NA,NA,6.48,NA,9600000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,115,-6.9,NA,NA,6.67,NA,8500000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,1215,-7.3,NA,NA,7.04,NA,6200000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,729,-8.3,NA,NA,7.5,NA,NA,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,68,-8,NA,NA,7.52,NA,8200000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,571,-8.6,NA,NA,7.6,NA,7500000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,1025,-9.6,NA,NA,7.65,NA,5900000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,845,-9.4,NA,NA,7.71,NA,6200000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,1898,-8.2,NA,NA,7.72,NA,3300000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,NA,-8.8,NA,NA,NA,NA,NA,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,354,-7.8,NA,NA,5.89,NA,8000000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,1330,-7.1,NA,NA,6.97,NA,5200000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,420,-8.2,NA,NA,7.67,NA,8100000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,512,-8.1,NA,NA,7.68,NA,5700000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,644,-8.3,NA,NA,7.71,NA,6700000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,1679,-7.7,NA,NA,7.94,NA,3100000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,NA,NA,NA,NA,NA,NA,NA,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,505,-6.7,NA,NA,6.79,NA,8500000000,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,1048,-7,NA,NA,7.01,NA,8800000000,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,1957,-7.7,NA,NA,7.36,NA,1500000000,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,1228,-8.3,NA,NA,7.6,NA,NA,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,785,-7.5,NA,NA,7.74,NA,8100000000,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,913,-8.7,NA,NA,7.94,NA,5200000000,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,1045,-8.2,NA,NA,7.96,NA,4000000000,NA,G,published,2017Tassi
Cordon Caulle,AC,SVZ,-40.49,-72.17,NA,NA,7,NA,7.3,NA,30000000,NA,G,published,2007Sepulveda
Cordon Caulle,AZ,SVZ,-40.49,-72.17,NA,NA,2.5,NA,8,NA,39300000000,NA,G,published,2007Sepulveda
Cordon Caulle,LS1,SVZ,-40.49,-72.17,NA,NA,6,NA,6.4,NA,94000000000,NA,G,published,2007Sepulveda
Cordon Caulle,LS2,SVZ,-40.49,-72.17,NA,NA,5.7,NA,6.2,NA,102000000000,NA,G,published,2007Sepulveda
Cupio,Cp1,SVZ,-40.16,-71.92,NA,NA,2.3,NA,NA,NA,NA,NA,G,published,2016Aguilera
Domuyo,D1a,SVZ,-36.6,-70.45,1.3,-7.05,1.92,NA,NA,NA,366000000000,NA,G,published,2016Tassi
Domuyo,D1b,SVZ,-36.6,-70.45,1.5,NA,1.86,NA,NA,NA,NA,NA,G,published,2016Tassi
Domuyo,D1d,SVZ,-36.6,-70.45,2.3,-7.34,1.95,NA,NA,NA,49200000000,NA,G,published,2016Tassi
Domuyo,D2b,SVZ,-36.6,-70.45,78.4,NA,5.63,NA,NA,NA,NA,NA,G,published,2016Tassi
Domuyo,D2c,SVZ,-36.6,-70.45,35,-8,4.89,NA,NA,NA,1360000000,NA,G,published,2016Tassi
Domuyo,D3c,SVZ,-36.6,-70.45,NA,-8.05,NA,NA,NA,NA,NA,NA,G,published,2016Tassi
Domuyo,D4a,SVZ,-36.6,-70.45,4.1,-9.58,4.98,NA,NA,NA,4880000000,NA,G,published,2016Tassi
Domuyo,D4b,SVZ,-36.6,-70.45,8.1,NA,4.55,NA,NA,NA,NA,NA,G,published,2016Tassi
Domuyo,D5a,SVZ,-36.6,-70.45,59,NA,6.82,NA,NA,NA,NA,NA,G,published,2016Tassi
Domuyo,D5d,SVZ,-36.6,-70.45,76,-6.95,6.91,NA,NA,NA,2130000000,NA,G,published,2016Tassi
Domuyo,D5e,SVZ,-36.6,-70.45,NA,-7.1,NA,NA,NA,NA,NA,NA,G,published,2016Tassi
Domuyo,D5g,SVZ,-36.6,-70.45,NA,NA,6.88,NA,NA,NA,NA,NA,G,published,2016Tassi
Domuyo,D9a,SVZ,-36.6,-70.45,NA,-7.75,NA,NA,NA,NA,NA,NA,G,published,2016Tassi
Domuyo,D9b,SVZ,-36.6,-70.45,3.19,NA,4.29,NA,NA,NA,NA,NA,G,published,2016Tassi
Eco Termas Pellaifa,PF,SVZ,-39.63,-71.92,1.3,-23.9,3.39,0.04,4.38,0.06,3860000000,NA,W,published,Tardani 2016 GCA
Estero del Volcan,47a,SVZ,-35.5,-70.76,351,-8.12,3.4,NA,3.4,NA,36000000000,NA,G,published,2016Benavente
Geométricas,B,SVZ,-39.5,-71.87,35.5,-17.1,4.15,NA,4.46,0.15,677000,10000,G,published,2009Ray
Geométricas,BW,SVZ,-39.5,-71.87,30.5,-13.2,4.11,NA,4.47,0.21,2200000000,100000000,G,published,2009Ray
Glacial valley,Gen2,SVZ,-35.25,-70.51,35,-12.6,NA,NA,3.21,NA,64000000000,NA,G,published,2016Tassi
Glacial valley,Gen2,SVZ,-35.25,-70.51,75,-12.6,NA,NA,5.94,NA,20000000000,NA,G,published,2016Tassi
Hipólito Muñoz,HM1,SVZ,-39.76,-71.79,69.7,-6.4,2.78,NA,2.86,0.13,5280000000,300000000,W,published,2009Ray
Hipólito Muñoz,HM2,SVZ,-39.76,-71.79,111.1,-5.9,2.9,NA,2.96,0.14,6120000000,300000000,W,published,2009Ray
Jaime Muro (Tolhuaca,JM,SVZ,-38.29,-71.67,16.1,-9.8,6.38,0.13,6.49,0.05,13000000000,NA,G,published,Tardani 2016 GCA
La Plata,50,SVZ,-35.94,-70.58,70,-8.9,3.39,NA,3.4,NA,4700000000,NA,G,published,2016Benavente
La Plata,51,SVZ,-35.94,-70.58,86,-8.1,3.79,NA,3.8,NA,4200000000,NA,G,published,2016Benavente
Las Maquinas,LM,SVZ,-37.82,-71.1,232.2,-8.3,7.5,NA,7.6,0.1,9000000000,100000000,G,published,2006Varekamp
Las Maquinas,LM1,SVZ,-37.83,-71.08,1898,-8.2,NA,NA,7.72,NA,3200000000,NA,G,published,2013Augusto
Las Maquinas,LM4,SVZ,-37.84,-71.09,NA,-7.3,NA,NA,7.04,NA,6400000000,NA,G,published,2013Augusto
Las Maquinas,LMM1,SVZ,-37.83,-71.08,1679,-7.7,NA,NA,7.94,NA,3000000000,NA,G,published,2013Augusto
Las Maquinas,LMM2,SVZ,-37.82,-71.09,NA,-7.1,NA,NA,6.97,NA,5100000000,NA,G,published,2013Augusto
Las Maquinas (Copahue,LM,SVZ,-37.83,-71.08,67.6,-8,7.48,0.15,7.52,0.01,8270000000,NA,G,published,Tardani 2016 GCA
Liquiñe,LQ,SVZ,-39.74,-71.83,21.4,-11.7,1.92,NA,2.07,0.07,21500000000,700000000,W,published,2009Ray
Los Azufres,Cur,SVZ,-35.25,-70.51,36,-12.6,NA,NA,1.19,NA,14000000000,NA,G,published,2016Tassi
Los Azufres,Pel,SVZ,-35.29,-70.53,115,-12.1,NA,NA,3.12,NA,50000000000,NA,G,published,2016Tassi
Los Azufres,Pel,SVZ,-35.29,-70.53,131,-13.2,NA,NA,3.69,NA,75000000000,NA,G,published,2016Tassi
Malacahuello,GW,SVZ,-38.49,-71.59,99.5,-16.8,2.71,NA,2.77,0.07,2270000000,100000000,G,published,2009Ray
Malacahuello,GW,SVZ,-38.49,-71.59,127.8,-14.9,2.74,NA,2.79,0.07,1870000000,100000000,G,published,2009Ray
Manzanar,G(gas),SVZ,-38.47,-71.71,205.9,-14.7,1.49,NA,1.5,0.28,311000,10000000,G,published,2009Ray
Minetúe,MN,SVZ,-39.25,-71.72,208.4,-17.7,4.89,NA,4.95,0.13,1460000000,40000000,W,published,2009Ray
Monumento El Morado,22,SVZ,-33.82,-70.06,8.5,-9.76,0.49,NA,0.47,NA,222000000000,NA,G,published,2016Benavente
Nevado de Chillan Vn.,NC,SVZ,-36.91,-71.4,3.1,-9.3,3.4,0.07,3.68,0.1,17800000000,NA,G,published,Tardani 2016 GCA
Nitrao,NIT1,SVZ,-37.69,-71.3,142.2,-13.9,3.16,NA,3.21,0.07,3820000000,100000000,W,published,2009Ray
Nitrao,NIT2,SVZ,-37.69,-71.3,107.7,-11.5,3.31,NA,3.38,0.07,4200000000,100000000,W,published,2009Ray
Parque Termal Menetùe,ME,SVZ,-39.33,-71.72,4.5,-27.4,5.05,0.01,5.42,0.01,290000000,NA,W,published,Tardani 2016 GCA
Pelehue,PL,SVZ,-38.12,-71.06,15.7,-7.4,7.53,0.15,7.67,0.1,1560000000,NA,G,published,Tardani 2016 GCA
Peteroa,Pet1,SVZ,-35.24,-70.57,305,-11.2,NA,NA,4.43,NA,17000000000,NA,G,published,2016Tassi
Peteroa,Pet1,SVZ,-35.24,-70.57,456,-7.5,NA,NA,6.68,NA,57000000000,NA,G,published,2016Tassi
Peteroa,Pet3,SVZ,-35.24,-70.57,387,-11.2,NA,NA,4.46,NA,18000000000,NA,G,published,2016Tassi
Peteroa,Pet3,SVZ,-35.24,-70.57,711,-7.6,NA,NA,6.87,NA,85000000000,NA,G,published,2016Tassi
Peteroa,Pet4,SVZ,-35.24,-70.57,NA,-3,NA,NA,NA,NA,NA,NA,G,published,2016Tassi
Peteroa,Pet5,SVZ,-35.24,-70.57,289,-3.6,NA,NA,7.11,NA,67000000000,NA,G,published,2016Tassi
Peteroa,Pet6,SVZ,-35.24,-70.57,NA,-2,NA,NA,NA,NA,NA,NA,G,published,2016Tassi
Peteroa,Pet7,SVZ,-35.24,-70.57,662,-11.6,NA,NA,4.46,NA,17000000000,NA,G,published,2016Tassi
Peteroa,Pet7,SVZ,-35.24,-70.57,454,NA,NA,NA,5.62,NA,36000000000,NA,G,published,2016Tassi
Peteroa,Pet7,SVZ,-35.24,-70.57,511,-6.2,NA,NA,6.51,NA,62000000000,NA,G,published,2016Tassi
Peteroa,Pet7,SVZ,-35.24,-70.57,511,-5.8,NA,NA,6.59,NA,49000000000,NA,G,published,2016Tassi
Peteroa,Pet8,SVZ,-35.24,-70.57,398,-11.4,NA,NA,4.44,NA,14000000000,NA,G,published,2016Tassi
Piedra Copahue,PC2,SVZ,-37.83,-71.11,1957,-7.7,NA,NA,7.36,NA,1500000000,NA,G,published,2013Augusto
Piedra Copahue,PC3,SVZ,-37.82,-71.15,NA,-7,NA,NA,4.04,NA,8800000000,NA,G,published,2013Augusto
Pucon Mahuida,PM,SVZ,-37.9,-71.18,27.6,-11.9,6.16,0.12,6.23,0.02,57800000000,NA,W,published,Tardani 2016 GCA
Puente de Tierra,27,SVZ,-34.09,-70.06,NA,-10.9,NA,NA,NA,NA,NA,NA,G,published,2016Benavente
Puyehue,PY,SVZ,-40.71,-72.33,117.1,-14.1,5.15,NA,5.27,0.14,3750000000,100000000,W,published,2009Ray
Quilaquin,QQ1,SVZ,-37.61,-71.41,112.7,-16.6,4.23,NA,4.33,0.15,1380000000,100000000,W,published,2009Ray
Quilaquin,QQ2,SVZ,-37.61,-71.41,100.5,-14.3,4.23,NA,4.33,0.2,1860000000,100000000,W,published,2009Ray
